,0,1,index,host_since,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,guests_included,extra_people,minimum_maximum_nights,maximum_maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,Essentials,Smoke detector,Heating,Hangers,Hair dryer,Wifi,Carbon monoxide detector,Shampoo,Iron,Kitchen,{TV,Laptop friendly workspace,Washer,Dryer,Fire extinguisher
651,1.0725849942152919,-0.8086265198958679,651.0,1970,1,6,2,1,1,3,1,1,2,5.0,1.0,2.0,2,1,12.0,4,8,8,49,93.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
652,1.6202757690519343,-0.7229529091061868,652.0,1970,2,1,2,1,1,1,1,3,1,8.0,2.5,4.0,8,1,8.0,9,5,5,222,92.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
653,1.866987243609399,-1.1677166492877353,653.0,1970,2,1,1,1,1,10,1,1,2,2.0,1.5,1.0,2,1,2.0,1,13,13,158,97.0,2,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
654,-0.3288472232362722,-0.7795849813758133,654.0,1970,2,1,1,1,1,4,1,1,2,2.0,2.0,1.0,2,1,2.0,22,56,56,180,97.0,2,2,2,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
655,2.0458958211820217,-0.7022518937840597,655.0,1970,2,1,2,1,1,12,1,1,1,2.0,1.0,1.0,2,1,1.0,3,4,4,90,92.0,2,1,1,2.0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1
656,2.113376537415863,-0.4122983629225166,656.0,1970,3,1,2,1,1,10,1,3,1,5.0,2.0,3.0,3,1,4.0,1,5,5,55,88.0,1,2,2,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
657,1.8599221684067042,-0.5984956561499598,657.0,1970,1,1,1,1,2,13,1,2,2,1.0,1.0,1.0,2,1,1.0,8,5,5,5,93.0,1,1,1,3.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
658,-1.3688742043018067,-1.382907434152283,658.0,1970,3,1,2,1,1,15,1,2,2,1.0,1.0,1.0,2,1,1.0,3,5,5,27,96.0,2,1,1,2.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
659,1.430870369231031,0.3677292968607859,659.0,1970,2,1,2,1,1,10,1,1,1,2.0,1.0,1.0,2,1,1.0,3,22,22,273,98.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
660,1.0326755094918378,0.012919207674869424,660.0,1970,3,1,2,1,1,1,1,2,1,2.0,1.5,1.0,2,1,2.0,3,5,5,73,98.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
661,6.472377308433797,0.7247328788866639,661.0,1970,2,1,1,1,1,3,1,6,1,2.0,1.0,1.0,2,1,2.0,3,7,7,274,95.0,2,1,1,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
662,0.5562089834424437,0.11922343934561834,662.0,1970,2,1,1,1,1,20,1,5,2,2.0,1.0,1.0,2,1,1.0,1,5,5,148,98.0,1,2,2,3.0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0
663,1.5267653914701438,0.4332849793503212,663.0,1970,2,1,1,1,1,16,1,1,1,2.0,1.0,1.0,2,1,2.0,3,8,8,70,100.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
664,1.2598355708002613,-0.5963244513063785,664.0,1970,4,4,2,1,1,7,1,1,1,1.0,1.0,0.0,2,1,1.0,3,3,3,151,94.0,2,2,2,1.0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1
665,0.9569656169229939,-0.5634422538300236,665.0,1970,2,1,2,1,1,3,1,3,1,8.0,2.0,4.0,4,1,5.0,3,63,63,172,91.0,2,1,1,1.0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
666,4.791502208374735,-0.10449101539594456,666.0,1970,2,1,1,1,1,13,2,2,2,4.0,1.0,2.0,3,1,2.0,1,12,12,99,97.0,1,1,2,2.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
667,1.131871757328017,0.967568964300226,667.0,1970,2,1,1,1,1,2,1,2,2,6.0,1.0,1.0,6,1,2.0,2,11,11,275,97.0,1,1,1,3.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
668,-0.7064404017326144,-1.0036173062119838,668.0,1970,4,4,2,1,1,3,1,4,1,6.0,1.5,3.0,3,1,4.0,1,70,70,11,94.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
669,-0.07336602800363154,-1.401078290931956,669.0,1970,4,4,2,1,1,11,1,2,1,8.0,2.5,3.0,8,1,1.0,3,5,5,76,100.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
670,1.4525701511961224,-0.3809792594650032,670.0,1970,3,1,1,1,2,4,1,2,1,6.0,2.0,3.0,3,1,6.0,12,5,5,219,98.0,1,1,1,2.0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0
671,0.465269578587399,0.7452712524586163,671.0,1970,4,4,2,1,1,7,1,1,1,2.0,1.0,0.0,2,1,2.0,3,3,3,25,96.0,2,2,2,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
672,0.6585291297577052,-0.13327238144933568,672.0,1970,2,1,1,1,1,7,1,1,3,1.0,1.0,1.0,2,1,1.0,1,33,33,276,98.0,2,1,1,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
673,-0.5005347991668472,0.23287777614298866,673.0,1970,2,1,1,1,1,20,1,5,1,4.0,2.0,2.0,1,1,2.0,3,5,5,225,97.0,2,2,2,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
674,3.3191344547080117,0.06880063220560695,674.0,1970,2,1,1,1,1,20,1,1,1,2.0,1.0,0.0,2,1,1.0,3,13,13,148,99.0,2,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
675,1.2325592720340126,-0.7618507863625208,675.0,1970,2,1,1,1,1,7,1,6,1,2.0,1.0,1.0,2,9,2.0,3,5,5,277,97.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
676,3.967381369932398,0.05712785299594927,676.0,1970,2,1,1,1,1,13,2,2,2,2.0,1.0,1.0,2,1,1.0,3,12,12,148,98.0,1,1,2,2.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
677,0.44207733171833347,-1.151260114829272,677.0,1970,2,1,2,1,2,7,1,1,1,2.0,1.0,1.0,2,1,2.0,12,7,7,154,96.0,1,2,2,2.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
678,2.956490229812463,-0.4466132149493474,678.0,1970,1,25,1,1,1,7,1,1,2,1.0,1.0,1.0,2,1,1.0,3,5,5,172,100.0,1,2,2,3.0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1
679,2.554749235770478,0.8440405503967019,679.0,1970,3,1,2,1,1,3,1,5,1,2.0,1.0,1.0,2,1,1.0,3,5,5,140,91.0,1,1,1,41.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
680,3.027048716050217,0.32616954189981745,680.0,1970,3,1,2,1,1,16,1,2,1,2.0,1.0,1.0,2,1,1.0,3,4,4,13,93.0,1,2,2,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
681,1.3669179214556593,-0.1259399549806828,681.0,1970,3,1,1,1,1,5,1,1,1,2.0,1.0,1.0,2,1,1.0,25,12,12,13,96.0,1,1,1,2.0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0
682,4.84068600241796,0.4699623517623895,682.0,1970,4,4,1,1,1,7,1,1,1,2.0,1.0,1.0,2,1,2.0,3,4,4,278,98.0,2,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
683,1.7061627981006815,0.7077610560615564,683.0,1970,3,1,1,1,1,2,1,2,1,6.0,2.0,3.0,6,1,6.0,3,4,4,39,100.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
684,-1.8877044474159905,-0.7752836662464037,684.0,1970,2,7,2,1,1,7,1,1,2,2.0,1.0,1.0,2,1,1.0,7,1,1,278,97.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
685,3.999910100911178,0.056933855259192374,685.0,1970,1,2,1,1,1,1,1,1,2,1.0,1.5,1.0,2,1,1.0,3,6,6,102,93.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
686,0.5163239261616048,-0.8810667662422144,686.0,1970,3,1,1,1,1,3,1,1,1,2.0,1.0,1.0,2,1,1.0,14,46,46,5,93.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
687,1.807535346560668,-1.160540369669254,687.0,1970,3,1,1,1,2,2,1,2,2,2.0,1.0,1.0,2,1,2.0,28,5,5,169,97.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
688,-1.5056572263663257,-0.06598811900558939,688.0,1970,2,1,1,1,2,6,1,3,1,2.0,1.0,1.0,2,1,1.0,3,5,5,37,100.0,1,2,2,21.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
689,-3.4098216943515505,-0.251524101197966,689.0,1970,1,6,2,1,1,1,1,1,1,2.0,1.0,1.0,2,1,1.0,3,5,5,76,89.0,1,1,1,7.0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
690,1.4351130647867179,0.08728154066732798,690.0,1970,2,1,1,1,1,21,1,2,2,1.0,1.5,1.0,2,1,1.0,2,66,66,112,95.0,1,1,1,3.0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
691,2.476004788132664,0.5990357274283407,691.0,1970,3,1,1,1,1,3,1,2,1,7.0,1.0,3.0,3,1,4.0,1,47,47,41,95.0,1,1,1,4.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
692,2.7358108160361536,0.08548029526521464,692.0,1970,3,1,1,1,1,10,1,3,1,5.0,2.0,3.0,3,1,2.0,19,29,29,201,99.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
693,1.0547694500491478,-0.45961251525929236,693.0,1970,3,1,2,1,1,12,1,6,1,6.0,1.0,1.0,3,1,2.0,2,3,3,246,87.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
694,-1.45106873325901,0.5519053071291937,694.0,1970,1,1,1,1,1,8,1,10,1,2.0,1.0,1.0,2,1,1.0,3,5,5,45,100.0,1,1,1,11.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
695,2.3318437685327185,-0.0016412378196258596,695.0,1970,3,1,1,1,2,10,1,1,1,2.0,1.0,1.0,5,1,2.0,9,7,7,160,97.0,1,1,1,1.0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
696,1.8163475923416104,-1.6597022898418343,696.0,1970,2,1,1,1,1,17,1,6,1,2.0,1.0,1.0,2,1,1.0,3,6,6,279,98.0,1,2,2,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
697,1.2897184040656178,-0.2691538114916699,697.0,1970,2,1,1,1,1,1,1,1,2,3.0,1.5,2.0,1,1,2.0,1,11,11,280,98.0,2,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
698,-0.39866576079221727,1.9287100652512605,698.0,1970,4,4,1,1,2,6,1,8,2,4.0,1.0,0.0,1,1,1.0,3,21,21,128,97.0,1,1,2,29.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
699,1.8777659423909554,-0.9127343792481886,699.0,1970,1,1,1,1,1,11,1,2,2,2.0,1.0,1.0,2,1,2.0,3,6,6,281,98.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
700,-0.22458144610718747,-0.7649007057152898,700.0,1970,2,1,2,1,2,1,1,1,1,6.0,1.0,3.0,3,1,4.0,1,5,5,282,93.0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
701,0.4738151542687812,-0.6715489337584166,701.0,1970,3,1,1,1,1,1,1,1,1,4.0,1.0,1.0,1,1,1.0,3,12,12,266,99.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
702,0.5520724253481692,-1.5328696729643065,702.0,1970,1,1,2,1,1,16,1,3,1,4.0,2.0,2.0,1,1,1.0,3,5,5,125,98.0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
703,2.713302691727632,-0.23444123239936915,703.0,1970,2,1,2,1,1,3,1,1,1,4.0,1.0,2.0,1,1,2.0,1,5,5,156,96.0,2,1,1,1.0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
704,-0.24565788729589944,2.1863778760267567,704.0,1970,4,4,1,1,2,6,1,13,2,4.0,1.0,0.0,1,1,1.0,3,21,21,182,95.0,1,1,2,29.0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
